 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  3   4   3   0   F 432   0   F 432 119.523800   1.000000  12.172000   1.000000  29.326800   1.000000 104.175000
  3   4   4   0   F 432   0   F 432  93.744800   1.000000   8.719200   1.000000  20.865000   1.000000  87.671000
  3   4   5   0   F 432   0   F 432  67.070800   1.000000   5.702000   1.000000  13.532200   1.000000  71.704200
  3   4   6   1   F 192   1   F 192  46.545200   1.000000   8.143200   1.000000  15.473400   1.000000  48.264600
  3   4   7   1   F 192   1   F 192  30.463800   1.000000   8.137000   1.000000   9.981400   1.000000  38.984800
  3   4   8   1   F 192   1   F 192  20.702000   1.000000   5.371200   1.000000   6.534200   1.000000  31.953200
  3   4   9   1   F 192   1   F 192  12.513800   1.000000   3.716800   1.000000   2.890800   1.000000  25.401600
  3   4  10   1   b 164   1   b 185   6.668600   0.890172   1.966200   0.949039   1.442800   0.965345  16.792800
  3   5   0   1   F 192   1   F 192  53.035000   1.000000   9.614000   1.000000  16.794200   1.000000  52.514800
  3   5   1   0   F 432   0   F 432  67.384200   1.000000   5.735400   1.000000  13.555200   1.000000  71.881400
  3   5   2   0   F 432   0   F 432  76.151800   1.000000   6.709200   1.000000  15.996200   1.000000  77.130800
  3   5   3   0   F 432   0   F 432  76.367200   1.000000   6.727200   1.000000  15.815000   1.000000  77.256800
  3   5   4   0   F 432   0   F 432  67.333600   1.000000   5.762400   1.000000  13.429000   1.000000  71.821400
  3   5   5   1   F 192   1   F 192  52.841400   1.000000   9.473600   1.000000  16.970800   1.000000  52.385200
  3   5   6   1   F 192   1   F 192  40.778000   1.000000   7.009400   1.000000  13.185400   1.000000  44.308000
  3   5   7   1   F 192   1   F 192  28.362200   1.000000   7.513000   1.000000   9.251200   1.000000  37.462400
  3   5   8   1   F 192   1   F 192  19.914000   1.000000   5.205600   1.000000   6.226400   1.000000  31.409400
  3   5   9   1   F 192   1   F 192  12.393400   1.000000   3.645200   1.000000   2.878200   1.000000  25.246400
  3   5  10   1   d 100   1   d 189   4.610400   0.554225   1.389000   0.647228   0.987000   0.685309  10.051400
  3   6   0   1   F 192   1   F 192  31.552200   1.000000   8.414200   1.000000  10.260200   1.000000  39.712800
  3   6   1   1   F 192   1   F 192  40.724400   1.000000   7.021800   1.000000  13.303400   1.000000  44.301200
  3   6   2   1   F 192   1   F 192  46.649200   1.000000   8.073200   1.000000  15.451600   1.000000  48.266400
  3   6   3   1   F 192   1   F 192  49.144000   1.000000   8.563400   1.000000  16.375400   1.000000  49.945000
  3   6   4   1   F 192   1   F 192  46.675600   1.000000   8.100200   1.000000  15.531200   1.000000  48.300200
  3   6   5   1   F 192   1   F 192  40.983400   1.000000   7.084400   1.000000  13.380400   1.000000  44.445200
  3   6   6   1   F 192   1   F 192  31.409200   1.000000   8.472400   1.000000  10.264200   1.000000  39.679200
  3   6   7   1   F 192   1   F 192  24.320800   1.000000   6.347000   1.000000   7.835400   1.000000  34.565400
  3   6   8   1   F 192   1   F 192  17.932400   1.000000   4.781200   1.000000   5.451800   1.000000  29.973600
  3   6   9   1   F 192   1   F 192  11.352400   1.000000   3.473000   1.000000   2.443400   1.000000  24.284800
  3   6  10   1   b 164   1   b 185   6.685800   0.890305   1.947800   0.945785   1.487400   0.962350  16.813200
  3   7   0   1   F 192   1   F 192  19.619400   1.000000   5.117800   1.000000   6.212400   1.000000  31.218200
  3   7   1   1   F 192   1   F 192  24.429400   1.000000   6.433800   1.000000   7.901200   1.000000  34.683200
  3   7   2   1   F 192   1   F 192  28.438600   1.000000   7.520000   1.000000   9.292000   1.000000  37.508000
